"","C1","C2","C3","C4","C5","C6"
"Afghanistan",7,16,3,7,23,11
"Albania",2,8,27,6,13,1
"Algeria",9,15,1,6,10,10
"Andorra",0,0,0,0,0,0
"Angola",6,11,0,9,0,12
"Antigua & Barbuda",3,10,0,7,0,13
"Argentina",9,13,16,6,14,9
"Armenia",0,0,0,0,0,0
"Australia",3,4,54,1,5,0
"Austria",7,5,38,2,5,0
"Azerbaijan",0,0,0,0,0,0
"Bahamas",8,10,0,7,2,14
"Bahrain",9,15,0,6,3,10
"Bangladesh",9,14,0,6,0,11
"Barbados",9,9,1,7,7,15
"Belarus",0,28,12,7,12,8
"Belgium",0,0,65,0,2,0
"Belize",2,12,0,5,0,14
"Benin",7,13,0,9,12,12
"Bhutan",10,13,0,6,2,12
"Bolivia",9,9,10,6,18,15
"Bosnia and Herzegovina",0,0,0,0,0,0
"Botswana",8,12,4,7,4,13
"Brazil",9,13,14,6,13,12
"Brunei",0,0,0,0,0,0
"Bulgaria",0,11,28,7,11,0
"Burkina Faso",9,12,2,6,11,13
"Burundi",9,12,0,7,10,12
"Cambodia",7,8,2,8,17,11
"Cameroon",9,16,1,6,11,10
"Canada",1,0,63,0,3,0
"Cape Verde",7,10,1,8,1,12
"Central African Republic",8,9,1,7,13,8
"Chad",9,13,1,8,13,8
"Chile",9,12,10,6,17,13
"China",7,18,0,6,4,8
"Colombia",9,13,14,6,13,12
"Comoros",8,10,1,8,0,12
"Congo",9,11,2,8,11,12
"Costa Rica",9,10,11,6,16,15
"Croatia",0,0,0,0,0,0
"Cuba",6,19,10,8,16,8
"Cyprus",9,16,9,6,13,0
"Czech Republic",0,0,0,0,0,0
"Czechoslovakia",0,12,15,7,12,0
"Democratic Republic of the Congo",8,7,3,12,12,11
"Denmark",2,0,55,0,10,0
"Djibouti",7,12,0,6,0,12
"Dominica",0,0,0,0,0,0
"Dominican Republic",9,6,17,9,10,14
"East Timor",0,0,0,0,0,0
"Ecuador",9,11,8,6,19,14
"Egypt",9,17,4,7,21,9
"El Salvador",9,10,12,7,15,14
"Equatorial Guinea",8,7,0,8,7,11
"Eritrea",0,0,0,0,0,0
"Estonia",0,0,0,0,0,0
"Ethiopia",9,15,6,6,20,11
"Federated States of Micronesia",0,0,0,0,0,0
"Fiji",9,10,0,7,4,14
"Finland",8,1,42,2,4,0
"France",0,0,66,0,1,0
"Gabon",9,12,3,7,10,12
"Gambia",8,11,7,8,4,11
"Georgia",0,0,0,0,0,0
"German Democratic Republic",0,0,0,0,0,0
"German Federal Republic",0,0,0,0,0,0
"Ghana",9,16,2,6,15,9
"Greece",7,5,37,2,15,1
"Grenada",6,9,4,7,2,12
"Guatemala",8,12,7,7,20,13
"Guinea",9,13,2,6,12,13
"Guinea-Bissau",8,11,1,7,0,10
"Guyana",9,11,1,6,7,14
"Haiti",6,7,9,10,20,15
"Honduras",8,10,11,6,17,15
"Hungary",0,11,29,7,11,0
"Iceland",3,3,48,0,13,0
"India",9,23,5,6,22,2
"Indonesia",9,14,1,6,20,12
"Iran",9,15,3,6,24,10
"Iraq",7,10,3,8,22,8
"Ireland",4,7,35,1,10,0
"Israel",0,0,53,0,12,0
"Italy",2,0,53,0,2,0
"Ivory Coast",9,14,2,5,11,12
"Jamaica",9,10,0,7,11,14
"Japan",3,12,35,0,7,0
"Jordan",9,13,4,6,14,12
"Kazakhstan",0,0,0,0,0,0
"Kenya",9,12,0,8,9,12
"Kuwait",9,14,0,6,9,12
"Kyrgyzstan",0,0,0,0,0,0
"Laos",6,16,4,8,13,10
"Latvia",0,0,0,0,0,0
"Lebanon",9,15,5,6,22,10
"Lesotho",9,11,4,7,4,13
"Liberia",9,8,3,6,23,9
"Libya",8,16,0,8,16,9
"Liechtenstein",0,0,0,0,0,0
"Lithuania",0,0,0,0,0,0
"Luxembourg",0,0,65,0,2,0
"Macedonia",0,0,0,0,0,0
"Madagascar",9,8,1,8,13,14
"Malawi",8,9,7,7,4,14
"Malaysia",9,15,1,6,15,10
"Maldives",9,14,0,6,5,11
"Mali",9,13,2,6,10,13
"Malta",9,14,14,6,4,2
"Marshall Islands",0,0,0,0,0,0
"Mauritania",9,12,1,6,11,12
"Mauritius",10,13,0,7,5,12
"Mexico",9,13,5,6,22,12
"Moldova",0,0,0,0,0,0
"Monaco",0,0,0,0,0,0
"Mongolia",0,18,3,7,9,15
"Montenegro",0,0,0,0,0,0
"Morocco",9,18,3,6,12,9
"Mozambique",7,9,0,10,0,13
"Myanmar",9,15,3,6,22,10
"Namibia",0,0,0,0,0,0
"Nauru",0,0,0,0,0,0
"Nepal",9,14,1,7,15,11
"Netherlands",2,0,62,0,3,0
"New Zealand",4,13,44,1,5,0
"Nicaragua",8,9,19,7,10,14
"Niger",9,14,0,6,12,9
"Nigeria",9,15,0,7,12,10
"North Korea",0,0,0,0,0,0
"Norway",4,1,52,0,10,0
"Oman",9,15,0,6,3,10
"Pakistan",9,18,3,6,22,8
"Palau",0,0,0,0,0,0
"Panama",10,13,7,6,20,11
"Papua New Guinea",9,11,0,7,0,12
"Paraguay",8,14,12,5,16,12
"Peru",9,10,14,7,13,14
"Philippines",9,14,7,6,20,11
"Poland",0,6,36,9,16,0
"Portugal",5,1,51,0,0,0
"Qatar",9,15,0,6,3,10
"Romania",7,1,30,8,12,0
"Russia",0,30,17,7,12,1
"Rwanda",9,5,2,9,12,14
"Samoa",7,10,0,7,0,13
"San Marino",0,0,0,0,0,0
"Sao Tome and Principe",0,0,0,0,0,0
"Saudi Arabia",8,14,7,7,19,12
"Senegal",9,15,0,6,12,11
"Seychelles",4,7,0,13,1,9
"Sierra Leone",9,12,1,7,11,12
"Singapore",9,15,0,7,9,9
"Slovakia",0,0,0,0,0,0
"Slovenia",0,0,0,0,0,0
"Solomon Islands",4,9,1,5,1,15
"Somalia",9,8,0,7,11,8
"South Africa",1,9,27,0,1,11
"South Korea",0,0,0,0,0,0
"South Sudan",0,0,0,0,0,0
"Spain",6,1,43,0,8,0
"Sri Lanka",9,16,2,6,16,9
"St. Kitts and Nevis",0,0,0,0,0,0
"St. Lucia",4,11,0,6,1,13
"St. Vincent and the Grenadines",3,9,0,6,0,15
"Sudan",9,13,2,6,15,12
"Suriname",9,11,0,6,0,13
"Swaziland",10,9,1,7,5,14
"Sweden",8,5,45,1,8,0
"Switzerland",0,0,0,0,0,0
"Syria",7,16,6,8,18,9
"Taiwan",0,0,0,0,0,0
"Tajikistan",0,0,0,0,0,0
