"","session.cc","ccode","session","CountryAbb","CountryName","Idealpoint","S.AM","N.AM","W.EU","N.EU","E.EU","S.EU","CAR","W.AF","E.AF","S.AF","S.AS","W.AS","N.AF","C.AM","SEA","ANZ","E.AS","M.AF","MEL","POL","MIC","C.AS","me","nu","di","hr","co","ec","ps","af","sc","sp","un","int","bu","pc","k6cluster"
"1","1.100","100","1","COL","Colombia",0.0684323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121951219512195,-0.0731707317073171,-0.024390243902439,0,0,0,0,0,0,3
"2","1.101","101","1","VEN","Venezuela",0.3164929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024390243902439,0.0487804878048781,0.0731707317073171,0.121951219512195,-0.024390243902439,0.024390243902439,0,0,0.024390243902439,0.024390243902439,0,3
"3","1.130","130","1","ECU","Ecuador",0.7188681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0.075,0.05,-0.025,0,0,0.05,0.025,0,3
"4","1.135","135","1","PER","Peru",1.766283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.025,0.225,0.025,-0.1,0.025,-0.025,0,0,0.025,0.025,0,3
"5","1.140","140","1","BRA","Brazil",1.429512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,-0.0238095238095238,0.285714285714286,0.0238095238095238,0.0238095238095238,0.0476190476190476,0.0238095238095238,0,0,0.0238095238095238,0,0,3
"6","1.145","145","1","BOL","Bolivia",1.209438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,-0.0238095238095238,0.238095238095238,0.142857142857143,0.142857142857143,0.0238095238095238,0.0476190476190476,0,0,0,0,0,3
"7","1.150","150","1","PAR","Paraguay",2.041183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0,0,0,0.333333333333333,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0256410256410256,0,0,0.0256410256410256,0.0256410256410256,0,3
"8","1.155","155","1","CHL","Chile",0.6526519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0.0238095238095238,0.238095238095238,0.142857142857143,0.0238095238095238,-0.0238095238095238,0,0,0,0,0,0,3
"9","1.160","160","1","ARG","Argentina",1.787684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0.238095238095238,0.119047619047619,0.0714285714285714,0.0238095238095238,-0.0238095238095238,0,0,0,0,0,3
"10","1.165","165","1","URU","Uruguay",1.291362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0.0238095238095238,0.261904761904762,0.0714285714285714,0.166666666666667,0.0238095238095238,0.0476190476190476,0,0,0.0238095238095238,0.0238095238095238,0,6
"11","1.2","2","1","USA","United States of America",1.742829,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,-0.0238095238095238,0.19047619047619,-0.0238095238095238,0.119047619047619,0.0238095238095238,0.0238095238095238,0,0,0.0238095238095238,0.0238095238095238,0,3
"12","1.20","20","1","CAN","Canada",2.056025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487804878048781,0,0,-0.024390243902439,0.341463414634146,0.024390243902439,0,0.024390243902439,0,0,0,0.024390243902439,0.024390243902439,0,3
"13","1.200","200","1","UKG","United Kingdom",2.175599,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,-0.0238095238095238,0.238095238095238,0.0238095238095238,-0.0238095238095238,0.0238095238095238,0.0238095238095238,0,0,0.0238095238095238,0.0238095238095238,0,3
"14","1.210","210","1","NTH","Netherlands",1.938364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487804878048781,0,0,-0.024390243902439,0.170731707317073,0.024390243902439,-0.024390243902439,0.024390243902439,0,0,0,0.024390243902439,0.024390243902439,0,3
"15","1.211","211","1","BEL","Belgium",1.657394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,-0.0238095238095238,0.238095238095238,0.0476190476190476,0.0238095238095238,0.0238095238095238,0.0238095238095238,0,0,0.0238095238095238,0.0238095238095238,0,3
"16","1.212","212","1","LUX","Luxembourg",1.709316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,-0.0263157894736842,0.236842105263158,0.0526315789473684,0.0789473684210526,0.0263157894736842,0.0263157894736842,0,0,0.0263157894736842,0.0263157894736842,0,3
"17","1.220","220","1","FRN","France",0.7258172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,-0.0238095238095238,0.166666666666667,0.0952380952380952,0.0476190476190476,0,0.0238095238095238,0,0,0.0238095238095238,0.0238095238095238,0,3
"18","1.290","290","1","POL","Poland",-1.924666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238095238095238,0,0,-0.0238095238095238,-0.0714285714285714,0.0476190476190476,0.0952380952380952,-0.0238095238095238,0.0238095238095238,0,0,-0.0238095238095238,-0.0238095238095238,0,3
"19","1.315","315","1","CZE","Czechoslovakia",-1.032768,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238095238095238,0.119047619047619,0.0476190476190476,0.142857142857143,-0.0238095238095238,0.0238095238095238,0,0,0,0,0,3
"20","1.345","345","1","YUG","Yugoslavia",-2.620508,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,-0.025,-0.15,0.05,0.15,-0.025,0.025,0,0,-0.025,-0.025,0,3
"21","1.350","350","1","GRC","Greece",2.008828,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,-0.0238095238095238,0.19047619047619,0.0714285714285714,-0.119047619047619,0.0238095238095238,0,0,0,0.0238095238095238,0.0238095238095238,0,3
"22","1.365","365","1","RUS","Russia",-2.659262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476190476190476,0,0,-0.0238095238095238,-0.142857142857143,0.0476190476190476,0.0952380952380952,-0.0238095238095238,0.0238095238095238,0,0,-0.0238095238095238,-0.0238095238095238,0,3
"23","1.369","369","1","UKR","Ukraine",-2.726734,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476190476190476,0,0,-0.0238095238095238,-0.142857142857143,0.0238095238095238,0.0952380952380952,-0.0238095238095238,0.0238095238095238,0,0,-0.0238095238095238,-0.0238095238095238,0,3
"24","1.370","370","1","BLR","Belarus",-2.668383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476190476190476,0,0,-0.0238095238095238,-0.142857142857143,0.0238095238095238,0.0952380952380952,-0.0238095238095238,0.0238095238095238,0,0,-0.0238095238095238,-0.0238095238095238,0,3
"25","1.380","380","1","SWD","Sweden",1.14057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.4,0.12,0.12,0.08,0.04,0,0,0.04,0,0,6
"26","1.385","385","1","NOR","Norway",0.7869268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487804878048781,0,0,-0.024390243902439,0.24390243902439,0.0731707317073171,0.0975609756097561,0.024390243902439,0.0487804878048781,0,0,0.024390243902439,0.024390243902439,0,3
