"","X","short"
"1",1,"AMENDMENTS, RULES OF PROCEDURE"
"2",2,"SECURITY COUNCIL ELECTIONS"
"3",3,"VOTING PROCEDURE"
"4",4,"DECLARATION OF HUMAN RIGHTS"
"5",6,"ECOSOC POWERS"
"6",7,"POST-WAR RECONSTRUCTION"
"7",8,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"8",9,"TRUSTEESHIP AMENDMENTS"
"9",10,"COUNCIL MEMBER TERM LENGTH"
"10",11,"PROPAGANDA,  REFUGEE CAMPS"
"11",12,"PERSONNEL, REFUGEE CAMPS"
"12",13,"QUISLINGS, TRAITORS AND WAR CRIMINALS"
"13",14,"TERM OF COUNCIL MEMBERS"
"14",15,"TERM OF COUNCIL MEMBERS"
"15",16,"ECOSOC CONSULTANTS"
"16",17,"ECOSOC CONSULTANTS"
"17",18,"INDIANS IN SOUTH AFRICA"
"18",19,"INDIANS IN SOUTH AFRICA"
"19",20,"INDIANS IN SOUTH AFRICA"
"20",21,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"21",22,"ECOSOC ELECTIONS"
"22",23,"SECURITY COUNCIL PROCEDURES"
"23",24,"TRUSTEESHIP AGREEMENTS"
"24",25,"NEW GUINEA TRUSTEESHIP"
"25",26,"RUANDA-URUNDI TRUSTEESHIP"
"26",27,"FRENCH CAMEROONS TRUSTEESHIP"
"27",28,"FRENCH TOGOLAND TRUSTEESHIP"
"28",29,"WESTERN SAMOA TRUSTEESHIP"
"29",30,"TANGANYIKA TRUSTEESHIP"
"30",31,"BRITISH CAMEROONS TRUSTEESHIP"
"31",32,"BRITISH TOGOLAND TRUSTEESHIP"
"32",33,"S.W. AFRICA TRUSTEESHIP"
"33",34,"S.W. AFRICA TRUSTEESHIP"
"34",35,"NON-SELF GOVERNING TERRITORIES, AMENDMENT"
"35",36,"NON SELF GOVERNING TERRITORIES, CONFERENCES"
"36",37,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"37",38,"U.N. HEADQUARTERS"
"38",39,"ECOSOC CONSULTANTS"
"39",40,"ECOSOC CONSULTANTS"
"40",41,"ECOSOC CONSULTANTS"
"41",42,"REFUGEE ORGANIZATION"
"42",43,"U.N SESSION IN EUROPE"
"43",44,"KOREA, AGENDA"
"44",45,"TRAFFIC IN WOMEN, CHILDREN"
"45",46,"BALKANS"
"46",47,"GREECE TROOP WITHDRAWL"
"47",48,"GREECE TROOP WITHDRAWL"
"48",49,"ECAFE PARTICIPATION"
"49",50,"TRUSTEESHIP AGREEMENTS"
"50",51,"S.W. AFRICA TRUSTEESHIP"
"51",52,"S.W. AFRICA TRUSTEESHIP"
"52",53,"TRUSTEESHIP AGREEMENTS"
"53",54,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"54",55,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"55",56,"NON SELF GOVERNING TERRITORIES, INFORMATION"
