"","X","descr"
"1",1,"TO ADOPT A CUBAN AMENDMENT TO THE UK PROPOSAL REFERRING THE PROVISIONAL RULES OF PROCEDURE AND ANY AMENDMENTS THEREOF TO THE 6TH COMMITTEE, SAID AMENDMENT PRESCRIBING A 1-WEEK TIME LIMIT WITHIN WHICH THE 6TH COMM. MUST SUBMIT ITS REPORT ON THE"
"2",2,"TO ADOPT A USSR PROPOSAL ADJOURNING DEBATE ON AND POSTPONINGELECTIONS OF THE NON-PERMANENT MEMBERS OF THE SECURITY COUNCIL, TO THE FOLLOWING WEEK."
"3",3,"TO ADOPT THE KOREAN PROPOSAL THAT INVALID BALLOTS BE INCLUDED IN THE TOTAL NUMBER OF \MEMBERS PRESENT AND VOTING\\, IN CALCULATING THE MAJORITY VOTE.\"""""
"4",4,"TO ADOPT A CUBAN PROPOSAL (A/3-C) THAT AN ITEM ON A DECLARATION OF THE RIGHTS AND DUTIES OF MAN BE TABLED."
"5",6,"TO ADOPT A SECOND 6TH COMM. AMENDMENT (A/14) TO THE PROVISIONAL RULES OF PROCEDURE, WHICH AMENDMENT EPLACES PROVISIONAL RULE T WITH A NEW TEXT AUTHORIZING THE ECONOMIC & SOC. COUNCIL TO CALL INTERNATIONAL CONFERENCES ON ANY MATTER WITHIN ITS CO"
"6",7,"TO OPEN THE DISCUSSION ON THE POLISH DRAFT RESOLUTION (A/22) PROVIDING FOR ECO. & SOC. COUNCIL STUDY AND ASSEMBLY DISCUSSION OF THE RECONSTRUCTION OF U.N. MEMBER-COUNTRIES DEVASTATED BY THE WAR."
"7",8,"TO ADOPT GENERAL COMM. DRAFT RESOLUTION (A/40) AS AMENDED BY A NORWEGIAN ORAL PROPOSAL (REPLACING \TAKE INTO ACCOUNT THE LETTER AND SPIRIT\\ IN 3RD PARAGRAPH WITH, \\""ACT IN ACCORDANCE WITH THE LETTER AND THE SPIRIT\\""), RECOMMENDING UN MEMBERS T"""
"8",9,"TO ADOPT DRAFT RESOLUTIONS I AND II AS A WHOLE, OF THE 4TH COMM. REPORT (A/34) ON NON-SELF-GOVERNING TERRITORIES. RESOLUTION I PROVIDES TO PROMOTE THE POLITICAL, SOCIAL, ECONOMIC, AND EDUCATIONAL ASPIRATIONS OF NON-SELF-GOVERNING PEOPLES THROUG"
"9",10,"TO ADOPT PARAGRAPH (A) OF THE 6TH COMM. DRAFT RESOLUTION  A/38) ON TERMS OF OFFICE OF MEMBERS OF UN COUNCILS, WHICH  PARAGRAPH AMENDS PROVISIONAL RULE 78 BY BEGINNING THE TERM OF OFFICE IMMEDIATELY UPON ELECTION TO A VACANT SEAT, OR IMMEDIATELY"
"10",11,"TO ADOPT USSR AMMENDMENT (A/C.3/19) TO A 3RD COMM. DRAFT RESOLUTION (A/45) REFERRING THE PROBLEM OF REFUGEES AND DISPLACED PERSONS TO E.S.C. FOR STUDY AND RECOMMENDATIONS. SAID AMENDMENT WOULD INSERT A NEW SUB-PARAGRAPH C(IV) READING:  \NO PROP"
"11",12,"TO ADOPT A USSR AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING A NEW SUB-PARAGRAPH C(V) AS FOLLOWS:  \THE ADMINISTRATIVE PERSONNEL OF REFUGEE AND DISPLACED PERSONS' CAMPS SHOULD BE COMPRISED PRIMARILY OF REPRES"
"12",13,"TO ADOPT USSR REVISED-AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING THE FOLLOWING TEXT TO PARAGRAPH (D):  \QUISLINGS, TRAITORS AND WAR CRIMINALS SHOULD NOT BE REGARDED AS REFUGEES WHO ARE ENTITLED TO GET PROTE"
"13",14,"TO ADOPT URUGUAY (ORAL) AMENDMENT TO THE GENERAL COMM. DRAFT RESOLUTION (A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR UN COUNCIL MEMBERS ELECTED IN JAN. 1946 UNDER THE PROVISIONAL RULES OF PROCEDURE, SAID AMENDMENT PRESCRIBING INSTEAD AN 8"
"14",15,"TO ADOPT NEW ZEALAND (ORAL) AMENDMENT TO GENERAL COMM DRAFT RESOLUTION(A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR COUNCIL MEMBERS ELECTED IN JAN. 1946, SAID AMENDMENT PRESCRIBING INSTEAD A 12-MONTH TERM OF OFFICE."
