Country.Name,Region,Final Cluster,Idealpoint,me,nu,di,hr,co,ec,ps,af,sc,sp,un,int,bu,pc
Australia,ANZ,C1,1.449778996,0.062211192,0.036983959,0.065897934,0.028828572,0.036307519,0.025455325,0.07077656,0.003732037,0.007014105,0.00979752,0.015856627,0.010824817,0.012838583,0.017119625
Austria,W.EU,C1,0.986815363,0.125690783,0.075078482,0.104055576,0.068852527,0.085414116,0.043002768,0.085255368,0.008099075,0.003030748,0.014388577,0.021344548,0.013198705,0.017281702,0.016959937
Belgium,W.EU,C1,1.644296821,0.097833003,0.019808811,0.048073873,0.029431714,0.018153954,0.018887144,0.062027453,-0.003078252,0.003623834,0.007037643,0.013020506,0.006631656,0.010702751,0.008270928
Canada,N.AM,C1,1.553902791,0.051622312,0.033712153,0.059274223,0.033784602,0.038536474,0.01778615,0.072970279,0.00143019,0.004185952,0.010749685,0.014243338,0.008466221,0.012304157,0.010986127
Denmark,N.EU,C1,1.254816193,0.093445105,0.036025693,0.067726973,0.052350373,0.070249581,0.028364423,0.081869641,0.00828782,0.00731597,0.01331731,0.016531315,0.010755149,0.014435084,0.012503958
Finland,N.EU,C1,0.921852323,0.121272495,0.07238786,0.103185357,0.064074164,0.081193529,0.039453227,0.075738404,0.007450771,0.003521273,0.013057344,0.021747874,0.01400585,0.018189155,0.015738206
France,W.EU,C1,1.635624907,0.104256219,-0.024450299,0.010421615,0.033284588,0.004312439,0.017134121,0.063926943,-0.003257011,0.003165335,0.006412075,0.010737506,0.006865809,0.008407713,0.004237293
Greece,S.EU,C1,0.940376381,0.138648743,0.042717437,0.069803854,0.077703064,0.110917863,0.043649972,0.095550417,0.008935084,0.006384241,0.01564487,0.018502886,0.018613173,0.01382003,0.016130616
Iceland,N.EU,C1,1.181885869,0.094142128,0.042231628,0.071234444,0.059769867,0.08127307,0.0359883,0.093823931,0.008824764,0.006612426,0.012816122,0.016300997,0.011918428,0.014770529,0.013698095
Ireland,N.EU,C1,1.012139877,0.114331142,0.076810363,0.107078957,0.068966302,0.095665383,0.036383127,0.081754718,0.008319423,0.004357818,0.013226541,0.019805552,0.012058784,0.01647246,0.014385385
Israel,W.AS,C1,1.749614289,-0.156791003,0.001155722,0.018942553,-0.010016165,-0.026527332,-0.005063152,0.071811993,0.009639671,0.004281522,0.011714267,0.011517358,0.007998942,0.010219228,0.008660603
Italy,S.EU,C1,1.405638291,0.113820192,0.02480786,0.058200989,0.052109383,0.055159966,0.031783378,0.071620038,0.001569441,0.000951083,0.01036946,0.016161783,0.007067203,0.011650415,0.012129389
Japan,E.AS,C1,0.983120132,0.130781268,0.073435425,0.09476948,0.062879722,0.093300659,0.031095083,0.080367902,0.006547297,0.00255522,0.013277136,0.017061411,0.006565747,0.013144892,0.017696014
Luxembourg,W.EU,C1,1.602633985,0.097622583,0.019769006,0.050509993,0.032495238,0.026018653,0.024431342,0.070780386,-0.002332617,0.002962759,0.008685777,0.013890641,0.007393014,0.010657401,0.010327394
Netherlands,W.EU,C1,1.590753925,0.093054586,0.023937526,0.052280783,0.034808126,0.032938091,0.024643473,0.076572696,0.001695372,0.003864068,0.01015238,0.015307713,0.009101468,0.012232492,0.01122843
New Zealand,ANZ,C1,1.23082374,0.099276356,0.058752126,0.083162631,0.052300859,0.060145311,0.031684918,0.07992904,0.005681169,0.007602697,0.011342866,0.016592864,0.010515678,0.014815615,0.016188502
Norway,N.EU,C1,1.18961819,0.092489607,0.037645888,0.067639579,0.056046132,0.072907667,0.033646217,0.085259266,0.009630269,0.00802193,0.011919281,0.017287196,0.011964292,0.015376053,0.011540368
Portugal,S.EU,C1,1.349226174,0.125009289,0.028862947,0.060500487,0.043621728,0.029041699,0.034243196,0.04304953,-0.006722667,-0.001831989,0.002267669,0.019798978,0.008629525,0.009720146,0.011342895
South Africa,S.AF,C1,1.177537234,0.117104555,0.068425363,0.08851633,0.043168874,-0.016658997,0.03649421,0.039285311,-0.025718739,0.00287918,-0.001219401,0.025592575,0.005618381,0.004112323,0.011293171
Spain,S.EU,C1,1.034585638,0.149540232,0.035857489,0.072548238,0.075618954,0.086901898,0.043291692,0.084597231,0.007666568,0.003894315,0.011906826,0.020290352,0.013706578,0.014945727,0.015676742
Sweden,N.EU,C1,1.05041856,0.10272488,0.063712214,0.088849951,0.055937349,0.075523395,0.03451212,0.085202399,0.011145953,0.008244024,0.014513575,0.017830222,0.013268854,0.014781575,0.014223223
United Kingdom,N.EU,C1,1.949509418,0.091107328,-0.009666943,0.021624811,0.016900134,-0.020210221,0.009145511,0.065034965,-0.005116952,0.002753105,0.006195855,0.008933604,0.003863071,0.009746663,0.006600543
United States of America,N.AM,C1,2.324364119,-0.105269639,-0.034459923,-0.018193119,-0.03478473,-0.058020638,-0.035231761,0.045653959,-0.002108099,0.001127771,0.00643932,0.003665806,-0.000707302,0.00575176,-0.000595729
Algeria,N.AF,C2,-1.062969024,0.209317149,0.128359507,0.149136946,0.143623919,0.167976339,0.082405839,0.092512076,0.020276669,0.008044196,0.015675161,0.02816482,0.029473011,0.019594982,0.022627913
Benin,W.AF,C2,-0.416098538,0.186590125,0.128020684,0.155707461,0.155343131,0.168213685,0.079472361,0.099103754,0.020135144,0.009013794,0.017391109,0.025187509,0.026556388,0.017898135,0.023888364
Burkina Faso,W.AF,C2,-0.400627526,0.190367691,0.140412079,0.167538874,0.137878026,0.159895173,0.078786401,0.103439955,0.020694287,0.009723954,0.018697887,0.02721316,0.025359063,0.01951732,0.021682172
Burundi,E.AF,C2,-0.517577375,0.179306269,0.131458374,0.15733888,0.164106757,0.169540833,0.090994467,0.101266286,0.020839221,0.008469838,0.015553378,0.027521283,0.028793856,0.020578196,0.024297699
