"","C1","C2","C3"
"Afghanistan",27,6,34
"Albania",10,36,11
"Algeria",19,1,31
"Andorra",0,21,0
"Angola",7,0,31
"Antigua & Barbuda",3,0,30
"Argentina",19,22,26
"Armenia",0,3,20
"Australia",4,63,0
"Austria",6,51,0
"Azerbaijan",0,1,22
"Bahamas",11,0,30
"Bahrain",12,0,31
"Bangladesh",10,0,30
"Barbados",15,2,31
"Belarus",6,23,38
"Belgium",1,66,0
"Belize",5,0,28
"Benin",20,0,33
"Bhutan",13,0,30
"Bolivia",20,18,29
"Bosnia and Herzegovina",0,18,3
"Botswana",11,5,32
"Brazil",19,18,30
"Brunei",0,0,30
"Bulgaria",7,34,16
"Burkina Faso",20,1,32
"Burundi",19,0,31
"Cambodia",22,5,26
"Cameroon",19,2,32
"Canada",2,65,0
"Cape Verde",9,1,29
"Central African Republic",22,1,23
"Chad",24,1,27
"Chile",23,14,30
"China",13,0,30
"Colombia",20,17,30
"Comoros",9,1,29
"Congo",18,3,32
"Costa Rica",19,19,29
"Croatia",0,22,0
"Cuba",20,13,34
"Cyprus",21,11,21
"Czech Republic",0,21,0
"Czechoslovakia",7,23,16
"Democratic Republic of the Congo",22,3,28
"Denmark",3,64,0
"Djibouti",8,0,29
"Dominica",5,1,26
"Dominican Republic",18,19,28
"East Timor",0,0,12
"Ecuador",22,15,30
"Egypt",26,7,34
"El Salvador",20,18,29
"Equatorial Guinea",15,0,26
"Eritrea",0,1,20
"Estonia",0,23,0
"Ethiopia",25,10,32
"Federated States of Micronesia",0,21,1
"Fiji",12,1,31
"Finland",8,49,0
"France",0,67,0
"Gabon",20,2,31
"Gambia",15,6,28
"Georgia",0,19,2
"German Democratic Republic",1,1,15
"German Federal Republic",0,41,0
"Ghana",23,2,32
"Greece",13,51,3
"Grenada",10,3,27
"Guatemala",20,17,30
"Guinea",21,2,32
"Guinea-Bissau",9,1,27
"Guyana",17,1,30
"Haiti",23,13,31
"Honduras",18,19,30
"Hungary",7,35,16
"Iceland",6,61,0
"India",27,8,32
"Indonesia",26,3,33
"Iran",29,7,31
"Iraq",24,10,24
"Ireland",4,53,0
"Israel",8,57,0
"Italy",3,54,0
"Ivory Coast",20,3,30
"Jamaica",21,0,30
"Japan",9,40,8
"Jordan",24,4,30
"Kazakhstan",0,0,22
"Kenya",18,0,32
"Kuwait",17,1,32
"Kyrgyzstan",0,0,20
"Laos",21,3,33
"Latvia",0,23,0
"Lebanon",27,10,30
"Lesotho",10,6,32
"Liberia",27,9,22
"Libya",23,2,32
"Liechtenstein",0,24,0
"Lithuania",0,23,0
"Luxembourg",1,66,0
"Macedonia",0,21,0
"Madagascar",20,2,31
"Malawi",13,7,29
"Malaysia",23,2,31
"Maldives",13,1,31
"Mali",19,1,33
"Malta",12,26,11
"Marshall Islands",0,23,0
"Mauritania",20,0,31
"Mauritius",16,0,31
"Mexico",22,14,31
"Moldova",0,22,0
"Monaco",0,20,1
"Mongolia",8,3,41
"Montenegro",0,8,0
"Morocco",21,3,33
"Mozambique",8,0,31
"Myanmar",29,6,30
"Namibia",0,0,24
"Nauru",0,12,16
"Nepal",23,2,32
"Netherlands",1,66,0
"New Zealand",5,62,0
"Nicaragua",14,23,30
"Niger",21,1,28
"Nigeria",22,0,31
"North Korea",0,0,23
"Norway",5,62,0
"Oman",12,0,31
"Pakistan",27,7,32
"Palau",0,15,1
"Panama",25,13,29
"Papua New Guinea",9,0,30
"Paraguay",20,17,30
"Peru",20,17,30
"Philippines",24,13,30
"Poland",9,44,14
"Portugal",5,51,1
"Qatar",12,0,31
"Romania",17,33,8
"Russia",6,40,21
"Rwanda",23,2,26
"Samoa",7,0,30
"San Marino",0,22,0
"Sao Tome and Principe",10,0,20
"Saudi Arabia",25,8,34
"Senegal",22,0,31
"Seychelles",6,0,28
"Sierra Leone",21,1,30
"Singapore",19,0,30
"Slovakia",0,21,0
"Slovenia",0,22,0
"Solomon Islands",5,0,30
"Somalia",19,0,24
"South Africa",2,27,20
"South Korea",0,9,14
"South Sudan",0,1,2
"Spain",9,48,1
"Sri Lanka",24,3,31
"St. Kitts and Nevis",2,1,28
"St. Lucia",5,0,30
"St. Vincent and the Grenadines",3,0,30
"Sudan",23,3,31
"Suriname",10,0,29
"Swaziland",14,2,30
"Sweden",9,58,0
"Switzerland",0,12,0
"Syria",23,7,34
"Taiwan",8,17,0
"Tajikistan",0,0,21
"Tanzania",18,1,33
"Thailand",23,12,31
"Togo",21,0,32
"Tonga",0,0,15
"Trinidad and Tobago",20,0,31
"Tunisia",24,1,32
"Turkey",20,35,12
"Turkmenistan",0,1,21
"Tuvalu",0,3,10
"Uganda",18,2,31
"Ukraine",6,33,28
"United Arab Emirates",12,0,31
"United Kingdom",1,66,0
"United States of America",2,65,0
"Uruguay",22,15,30
"Uzbekistan",0,3,16
"Vanuatu",4,2,26
"Venezuela",23,14,30
"Vietnam",6,0,31
"Yemen Arab Republic",24,7,35
"Yemen People's Republic",15,0,8
"Yugoslavia",23,27,10
"Zambia",16,0,33
"Zimbabwe",3,0,31
